ticker,session_date,entry_rule,exit_rule,status,entry_idx,exit_idx,entry_price,exit_price,entry_ts,exit_ts,bars_held,underlying_pnl,underlying_pct,hit_daily_target,hit_daily_stop
JPM,2026-03-03,C,Y,ok,1.0,2.0,290.65,291.56,2026-03-03 09:31:00-05:00,2026-03-03 09:32:00-05:00,1.0,0.910000000000025,0.003130913469809135,False,False
JPM,2026-03-03,C,Z,ok,1.0,14.0,290.65,290.44,2026-03-03 09:31:00-05:00,2026-03-03 09:44:00-05:00,13.0,-0.20999999999997954,-0.000722518493032787,False,False
AMZN,2026-03-03,A,X,ok,0.0,180.0,203.6826,206.325,2026-03-03 09:30:00-05:00,2026-03-03 12:30:00-05:00,180.0,2.6423999999999808,0.012973125834018127,False,False
AMZN,2026-03-03,A,Y,ok,0.0,1.0,203.6826,204.23,2026-03-03 09:30:00-05:00,2026-03-03 09:31:00-05:00,1.0,0.5473999999999819,0.0026875147901685363,False,False
AMZN,2026-03-03,A,Z,ok,0.0,30.0,203.6826,203.895,2026-03-03 09:30:00-05:00,2026-03-03 10:00:00-05:00,30.0,0.21240000000000236,0.0010427989430614219,False,False
AMZN,2026-03-03,B,X,ok,0.0,180.0,203.6826,206.325,2026-03-03 09:30:00-05:00,2026-03-03 12:30:00-05:00,180.0,2.6423999999999808,0.012973125834018127,False,False
AMZN,2026-03-03,B,Y,ok,0.0,1.0,203.6826,204.23,2026-03-03 09:30:00-05:00,2026-03-03 09:31:00-05:00,1.0,0.5473999999999819,0.0026875147901685363,False,False
AMZN,2026-03-03,B,Z,ok,0.0,30.0,203.6826,203.895,2026-03-03 09:30:00-05:00,2026-03-03 10:00:00-05:00,30.0,0.21240000000000236,0.0010427989430614219,False,False
AMZN,2026-03-03,C,X,ok,0.0,180.0,203.6826,206.325,2026-03-03 09:30:00-05:00,2026-03-03 12:30:00-05:00,180.0,2.6423999999999808,0.012973125834018127,False,False
AMZN,2026-03-03,C,Y,ok,0.0,1.0,203.6826,204.23,2026-03-03 09:30:00-05:00,2026-03-03 09:31:00-05:00,1.0,0.5473999999999819,0.0026875147901685363,False,False
AMZN,2026-03-03,C,Z,ok,0.0,30.0,203.6826,203.895,2026-03-03 09:30:00-05:00,2026-03-03 10:00:00-05:00,30.0,0.21240000000000236,0.0010427989430614219,False,False
SPY,2026-03-03,A,X,ok,0.0,180.0,676.21,677.91,2026-03-03 09:30:00-05:00,2026-03-03 12:30:00-05:00,180.0,1.6999999999999318,0.002514011919374058,False,False
SPY,2026-03-03,A,Y,ok,0.0,1.0,676.21,676.28,2026-03-03 09:30:00-05:00,2026-03-03 09:31:00-05:00,1.0,0.06999999999993634,0.00010351813785648886,False,False
SPY,2026-03-03,A,Z,ok,0.0,44.0,676.21,672.64,2026-03-03 09:30:00-05:00,2026-03-03 10:14:00-05:00,44.0,-3.57000000000005,-0.005279425030685807,False,False
SPY,2026-03-03,B,X,ok,0.0,180.0,676.21,677.91,2026-03-03 09:30:00-05:00,2026-03-03 12:30:00-05:00,180.0,1.6999999999999318,0.002514011919374058,False,False
SPY,2026-03-03,B,Y,ok,0.0,1.0,676.21,676.28,2026-03-03 09:30:00-05:00,2026-03-03 09:31:00-05:00,1.0,0.06999999999993634,0.00010351813785648886,False,False
SPY,2026-03-03,B,Z,ok,0.0,44.0,676.21,672.64,2026-03-03 09:30:00-05:00,2026-03-03 10:14:00-05:00,44.0,-3.57000000000005,-0.005279425030685807,False,False
SPY,2026-03-03,C,X,ok,28.0,208.0,672.14,677.425,2026-03-03 09:58:00-05:00,2026-03-03 12:58:00-05:00,180.0,5.284999999999968,0.00786294521974584,False,False
SPY,2026-03-03,C,Y,ok,28.0,94.0,672.14,673.46,2026-03-03 09:58:00-05:00,2026-03-03 11:04:00-05:00,66.0,1.32000000000005,0.001963876573333011,False,False
SPY,2026-03-03,C,Z,ok,28.0,44.0,672.14,672.64,2026-03-03 09:58:00-05:00,2026-03-03 10:14:00-05:00,16.0,0.5,0.0007438926414139912,False,False
NVDA,2026-03-03,A,X,ok,0.0,180.0,179.78,179.99,2026-03-03 09:30:00-05:00,2026-03-03 12:30:00-05:00,180.0,0.21000000000000796,0.0011680943375236843,False,False
NVDA,2026-03-03,A,Y,ok,0.0,7.0,179.78,179.59,2026-03-03 09:30:00-05:00,2026-03-03 09:37:00-05:00,7.0,-0.18999999999999773,-0.0010568472577594712,False,False
NVDA,2026-03-03,A,Z,ok,0.0,151.0,179.78,179.9,2026-03-03 09:30:00-05:00,2026-03-03 12:01:00-05:00,151.0,0.12000000000000455,0.0006674824785849624,False,False
NVDA,2026-03-03,B,X,ok,0.0,180.0,179.78,179.99,2026-03-03 09:30:00-05:00,2026-03-03 12:30:00-05:00,180.0,0.21000000000000796,0.0011680943375236843,False,False
NVDA,2026-03-03,B,Y,ok,0.0,7.0,179.78,179.59,2026-03-03 09:30:00-05:00,2026-03-03 09:37:00-05:00,7.0,-0.18999999999999773,-0.0010568472577594712,False,False
NVDA,2026-03-03,B,Z,ok,0.0,151.0,179.78,179.9,2026-03-03 09:30:00-05:00,2026-03-03 12:01:00-05:00,151.0,0.12000000000000455,0.0006674824785849624,False,False
NVDA,2026-03-03,C,X,ok,4.0,184.0,178.07,179.15,2026-03-03 09:34:00-05:00,2026-03-03 12:34:00-05:00,180.0,1.0800000000000125,0.006065030605941554,False,False
NVDA,2026-03-03,C,Y,ok,4.0,7.0,178.07,179.59,2026-03-03 09:34:00-05:00,2026-03-03 09:37:00-05:00,3.0,1.5200000000000102,0.008535969000954739,False,False
