ticker,session_date,entry_open,prior_close,prior_poc,prior_val,prior_vah,gap_pct,target_px,stop_px,outcome,exit_px,exit_date,bars_held,underlying_pnl,underlying_pct,status,symbol,expiry,strike,entry_opt,exit_opt,opt_pnl,opt_pnl_pct
SPY,2024-07-02,543.7,545.37,545.02,544.27,545.73,-0.0030621412985678696,545.02,542.0300000000001,target,545.02,2024-07-03,1,1.3199999999999363,0.0024278094537427556,ok,SPY240705C00544000,2024-07-05,544.0,2.15,6.88,473.00000000000006,2.2
JPM,2024-07-05,206.99,208.69,208.68,208.03,208.68,-0.00814605395562791,208.68,205.29000000000002,stop,205.29000000000002,2024-07-08,1,-1.6999999999999886,-0.008212957147688238,ok,JPM240712C00207500,2024-07-12,207.5,3.4,2.0,-140.0,-0.4117647058823529
JPM,2024-07-10,206.14,207.64,209.18,207.43,209.68,-0.007224041610479677,209.18,204.64,stop,204.64,2024-07-12,2,-1.5,-0.007276608130396818,ok,JPM240712C00205000,2024-07-12,205.0,3.8,1.41,-238.99999999999997,-0.6289473684210526
JPM,2024-07-11,206.21,207.69,207.43,206.93,207.78,-0.007126005103760363,207.43,204.73000000000002,target,207.43,2024-07-12,1,1.2199999999999989,0.005916298918578143,ok,JPM240712C00205000,2024-07-12,205.0,3.8,1.41,-238.99999999999997,-0.6289473684210526
JPM,2024-07-12,204.0,207.36,207.53,206.93,207.93,-0.01620370370370377,207.53,200.64,target,207.53,2024-07-15,1,3.530000000000001,0.017303921568627458,ok,JPM240719C00205000,2024-07-19,205.0,2.36,5.85,349.0,1.478813559322034
SPY,2024-07-17,558.8,564.845,564.27,563.12,565.12,-0.010702051005143131,564.27,552.7549999999999,stop,552.7549999999999,2024-07-18,1,-6.045000000000073,-0.010817823908375221,ok,SPY240719C00559000,2024-07-19,559.0,2.69,0.36,-233.0,-0.8661710037174721
SPY,2024-07-24,548.86,553.72,554.88,554.17,556.12,-0.008776999205374583,554.88,544.0,stop,544.0,2024-07-25,1,-4.860000000000014,-0.008854717049885242,ok,SPY240726C00549000,2024-07-26,549.0,2.89,0.91,-198.0,-0.6851211072664359
JPM,2024-07-24,209.55,210.29,210.73,210.18,210.93,-0.0035189500213989285,210.73,208.81000000000003,stop,208.81000000000003,2024-07-25,1,-0.7399999999999807,-0.003531376759723124,ok,JPM240726C00210000,2024-07-26,210.0,1.79,0.7,-109.00000000000001,-0.6089385474860336
SPY,2024-08-02,535.75,543.04,542.12,539.57,546.17,-0.013424425456688207,542.12,528.46,stop,528.46,2024-08-05,1,-7.289999999999964,-0.0136070928604759,ok,SPY240809C00536000,2024-08-09,536.0,6.5,1.13,-537.0,-0.8261538461538461
JPM,2024-08-02,203.88,207.79,207.53,206.48,209.28,-0.01881707493142113,207.53,199.97,stop,199.97,2024-08-05,1,-3.9099999999999966,-0.019177947812438673,ok,JPM240809C00205000,2024-08-09,205.0,2.75,0.24,-250.99999999999997,-0.9127272727272726
SPY,2024-08-05,511.64,532.98,531.18,529.88,532.88,-0.04003902585462875,531.18,490.29999999999995,target,531.18,2024-08-07,2,19.539999999999964,0.03819091548745204,ok,SPY240809C00512000,2024-08-09,512.0,12.48,15.58,309.99999999999994,0.24839743589743585
JPM,2024-08-05,194.05,199.12,197.73,196.98,199.88,-0.02546203294495778,197.73,188.98000000000002,target,197.73,2024-08-06,1,3.6799999999999784,0.01896418448853377,ok,JPM240809C00195000,2024-08-09,195.0,2.15,6.2,405.00000000000006,1.8837209302325586
JPM,2024-08-28,219.25,220.28,220.08,219.72,220.18,-0.004675867078264033,220.08,218.22,target,220.08,2024-08-29,1,0.8300000000000125,0.0037856328392246864,ok,JPM240830C00220000,2024-08-30,220.0,1.41,2.35,94.00000000000001,0.6666666666666669
JPM,2024-09-03,222.3,224.78,222.97,222.43,223.83,-0.011033010054275245,222.97,219.82000000000002,stop,219.82000000000002,2024-09-04,1,-2.4799999999999898,-0.011156095366621635,ok,JPM240906C00222500,2024-09-06,222.5,2.77,0.67,-210.0,-0.7581227436823105
SPY,2024-09-04,550.2,552.16,556.23,551.52,557.67,-0.003549695740364972,556.23,548.2400000000001,stop,548.2400000000001,2024-09-05,1,-1.9599999999999227,-0.003562340966920979,ok,SPY240906C00550000,2024-09-06,550.0,4.5,2.52,-198.0,-0.44
SPY,2024-09-20,567.84,570.92,571.68,570.38,572.03,-0.00539480137322204,571.68,564.7600000000001,target,571.68,2024-09-25,3,3.839999999999918,0.006762468300929695,ok,SPY240927C00568000,2024-09-27,568.0,4.1,3.88,-21.999999999999975,-0.0536585365853658
JPM,2024-09-30,206.31,210.34,210.88,209.98,211.08,-0.019159456118665024,210.88,202.28,target,210.88,2024-10-04,4,4.569999999999993,0.022151131791963517,ok,JPM241004C00205000,2024-10-04,205.0,2.66,3.26,59.999999999999964,0.22556390977443594
JPM,2024-10-03,206.17,207.25,207.33,206.83,207.68,-0.0052110977080820865,207.33,205.08999999999997,target,207.33,2024-10-04,1,1.160000000000025,0.005626424795072149,ok,JPM241004C00205000,2024-10-04,205.0,1.83,3.26,142.99999999999997,0.7814207650273223
SPY,2024-10-22,581.05,583.67,582.48,581.93,584.08,-0.004488837870714624,582.48,578.43,stop,578.43,2024-10-23,1,-2.6200000000000045,-0.004509078392565192,ok,SPY241025C00581000,2024-10-25,581.0,3.17,1.82,-135.0,-0.4258675078864353
SPY,2024-10-23,581.26,583.32,583.48,581.98,584.48,-0.003531509291641053,583.48,579.1999999999999,stop,579.1999999999999,2024-10-24,1,-2.060000000000059,-0.0035440250490315164,ok,SPY241025C00581000,2024-10-25,581.0,2.77,0.73,-204.0,-0.7364620938628159
JPM,2024-10-24,221.83,223.45,223.72,223.28,224.22,-0.007249944059073512,223.72,220.21000000000004,target,223.72,2024-10-25,1,1.8899999999999864,0.008520037866834902,ok,JPM241025C00222500,2024-10-25,222.5,1.07,0.37,-70.0,-0.6542056074766356
SPY,2024-10-31,575.56,579.97,582.02,580.38,582.83,-0.0076038415780127966,582.02,571.1499999999999,stop,571.1499999999999,2024-11-01,1,-4.410000000000082,-0.007662102995343808,ok,SPY241101C00576000,2024-11-01,576.0,3.01,0.22,-278.99999999999994,-0.9269102990033222
SPY,2024-11-15,589.72,593.37,593.23,592.98,595.62,-0.0061513052564167,593.23,586.07,stop,586.07,2024-11-18,1,-3.6499999999999773,-0.006189378009902966,ok,SPY241122C00590000,2024-11-22,590.0,4.42,3.36,-106.0,-0.2398190045248869
SPY,2024-11-19,584.71,588.14,588.28,587.53,588.58,-0.005831944775053474,588.28,581.2800000000001,target,588.28,2024-11-20,1,3.5699999999999363,0.006105590805698442,ok,SPY241122C00585000,2024-11-22,585.0,4.15,5.07,92.0,0.22168674698795177
JPM,2024-11-19,242.25,245.18,245.08,244.28,245.88,-0.011950403784974332,245.08,239.32,stop,239.32,2024-11-20,1,-2.930000000000007,-0.012094943240454105,ok,JPM241122C00242500,2024-11-22,242.5,2.49,1.11,-138.0,-0.5542168674698795
JPM,2024-12-17,238.65,239.83,239.78,239.18,240.07,-0.004920151774173401,239.78,237.47,stop,237.47,2024-12-18,1,-1.1800000000000068,-0.004944479363084043,ok,JPM241220C00240000,2024-12-20,240.0,1.67,1.0,-67.0,-0.40119760479041916
SPY,2024-12-17,604.19,606.775,607.48,606.53,607.73,-0.004260228255943179,607.48,601.6050000000001,stop,601.6050000000001,2024-12-18,1,-2.5849999999999227,-0.004278455452754799,ok,SPY241220C00604000,2024-12-20,604.0,2.88,3.53,64.99999999999999,0.22569444444444442
SPY,2024-12-20,581.77,586.12,588.73,587.88,590.77,-0.007421688391455713,588.73,577.42,target,588.73,2024-12-23,1,6.960000000000036,0.011963490726575857,ok,SPY241227C00582000,2024-12-27,582.0,6.03,9.78,374.9999999999999,0.6218905472636814
JPM,2024-12-20,231.92,233.07,233.07,232.93,234.38,-0.004934139957952571,233.07,230.76999999999998,target,233.07,2024-12-23,1,1.1500000000000057,0.004958606416005544,ok,JPM241227C00232500,2024-12-27,232.5,3.55,4.16,61.00000000000003,0.17183098591549306
SPY,2024-12-27,597.54,601.25,601.78,600.53,602.03,-0.0061704781704782306,601.78,593.8299999999999,stop,593.8299999999999,2024-12-30,1,-3.7100000000000364,-0.006208789369749367,ok,SPY250103C00598000,2025-01-03,598.0,3.88,0.65,-323.0,-0.8324742268041238
JPM,2024-12-30,238.77,241.31,241.03,240.32,241.57,-0.010525879573991927,241.03,236.23000000000002,target,241.03,2024-12-31,1,2.259999999999991,0.009465175692088582,ok,JPM250103C00240000,2025-01-03,240.0,1.61,1.71,9.999999999999986,0.06211180124223594
SPY,2024-12-30,587.89,594.99,594.52,592.33,595.08,-0.011932973663422953,594.52,580.79,stop,580.79,2025-01-02,2,-7.100000000000023,-0.012077089251390605,ok,SPY250103C00588000,2025-01-03,588.0,4.36,1.81,-255.00000000000003,-0.5848623853211009
SPY,2025-01-10,585.88,589.42,589.42,587.52,589.62,-0.006005904109124162,589.42,582.34,stop,582.34,2025-01-13,1,-3.5399999999999636,-0.006042192940533836,ok,SPY250117C00586000,2025-01-17,586.0,5.62,1.86,-376.0,-0.6690391459074733
SPY,2025-01-13,575.77,580.51,580.38,579.52,582.33,-0.00816523401836318,580.38,571.03,target,580.38,2025-01-14,1,4.610000000000014,0.008006669329767119,ok,SPY250117C00576000,2025-01-17,576.0,5.64,7.78,214.00000000000006,0.3794326241134753
JPM,2025-01-24,263.69,265.9,264.78,264.53,265.38,-0.008311395261376382,264.78,261.48,target,264.78,2025-01-27,1,1.089999999999975,0.00413364177632817,ok,JPM250131C00265000,2025-01-31,265.0,2.39,1.87,-52.0,-0.21757322175732216
SPY,2025-01-27,594.81,607.95,607.38,606.88,609.58,-0.021613619541080844,607.38,581.6699999999998,target,607.38,2025-01-31,4,12.57000000000005,0.021132798708831477,ok,SPY250131C00595000,2025-01-31,595.0,5.7,14.5,880.0000000000001,1.5438596491228072
SPY,2025-02-03,592.67,601.8,601.88,601.08,607.62,-0.015171153207045523,601.88,583.54,target,601.88,2025-02-04,1,9.210000000000036,0.015539845107732864,ok,SPY250207C00593000,2025-02-07,593.0,5.67,9.9,423.00000000000006,0.7460317460317462
JPM,2025-02-03,261.83,267.305,269.52,267.68,269.97,-0.020482220684237194,269.52,256.35499999999996,target,269.52,2025-02-04,1,7.689999999999998,0.029370202039491266,ok,JPM250207C00262500,2025-02-07,262.5,3.81,6.2,239.0,0.6272965879265092
SPY,2025-02-11,602.55,604.79,604.73,604.23,605.23,-0.003703764943203441,604.73,600.31,stop,600.31,2025-02-12,1,-2.240000000000009,-0.0037175338146212085,ok,SPY250214C00603000,2025-02-14,603.0,3.58,2.42,-116.00000000000001,-0.32402234636871513
SPY,2025-02-12,599.2,605.21,604.77,604.02,605.62,-0.009930437368847161,604.77,593.19,target,604.77,2025-02-13,1,5.569999999999936,0.009295727636849025,ok,SPY250214C00599000,2025-02-14,599.0,3.57,8.6,502.99999999999994,1.4089635854341735
SPY,2025-03-04,579.71,583.97,582.12,579.88,592.27,-0.007294895285716716,582.12,575.45,target,582.12,2025-03-05,1,2.409999999999968,0.004157251039312705,ok,SPY250307C00580000,2025-03-07,580.0,6.49,3.85,-264.0,-0.4067796610169492
JPM,2025-03-04,255.28,260.63,264.28,261.03,266.32,-0.02052718413076006,264.28,249.93,stop,249.93,2025-03-05,1,-5.349999999999994,-0.02095738013162016,ok,JPM250307C00255000,2025-03-07,255.0,4.75,1.41,-334.0,-0.7031578947368421
