split,rule,level_name,target_mult,stop_mult,n_train,hit_train,stop,timeout,exp_train,n_oos,hit_oos,exp_oos,base_train,base_oos,edge_train,edge_oos,sum_edge
train,S3,prior_low,0.5,0.5,211,0.4597156398104265,0.5402843601895735,0.0,-0.04028436018957346,25,0.56,0.06,-0.04679298425297657,-0.05377906976744186,0.006508624063403114,0.11377906976744186,0.12028769383084498
train,S4,prior_low,0.3,1.5,291,0.8213058419243986,0.17869415807560138,0.0,-0.021649484536082463,33,0.8484848484848485,0.027272727272727282,-0.04075022404301628,-0.07194767441860465,0.019100739506933816,0.09922040169133194,0.11832114119826576
train,S4,prior_low,1.5,0.5,291,0.2611683848797251,0.738831615120275,0.0,0.022336769759450172,33,0.2727272727272727,0.045454545454545456,-0.004928946357700678,-0.040697674418604654,0.02726571611715085,0.08615221987315011,0.11341793599030096
train,S3,prior_low,1.0,0.5,211,0.3412322274881517,0.6587677725118484,0.0,0.011848341232227487,25,0.36,0.04,-0.016835232364614004,-0.04142441860465116,0.02868357359684149,0.08142441860465116,0.11010799220149264
train,S2,prior_close,0.3,0.5,145,0.5241379310344828,0.47586206896551725,0.0,-0.08068965517241379,11,0.6363636363636364,0.0090909090909091,-0.09083344002048394,-0.09069767441860466,0.010143784848070145,0.09978858350951375,0.1099323683575839
train,S4,prior_low,0.75,1.5,291,0.6701030927835051,0.32646048109965636,0.003436426116838488,0.01288659793814433,33,0.6666666666666666,0.0,-0.017379336832671875,-0.07739825581395349,0.030265934770816204,0.07739825581395349,0.1076641905847697
train,S4,val,1.0,0.75,353,0.4730878186968839,0.5240793201133145,0.0028328611898017,0.08002832861189801,29,0.41379310344827586,-0.02586206896551724,-0.016899244654973757,-0.03234011627906977,0.09692757326687176,0.006478047313552528,0.1034056205804243
train,S3,prior_low,0.75,0.75,211,0.5308056872037915,0.46445497630331756,0.004739336492890996,0.04976303317535545,25,0.48,-0.03,-0.025156830111381385,-0.05777616279069767,0.07491986328673683,0.027776162790697674,0.1026960260774345
train,S3,poc,0.3,0.5,415,0.5397590361445783,0.4602409638554217,0.0,-0.06819277108433734,23,0.6086956521739131,-0.013043478260869558,-0.09083344002048394,-0.09069767441860466,0.022640668936146593,0.0776541961577351,0.10029486509388169
train,S3,val,0.5,0.5,343,0.47230320699708456,0.5276967930029155,0.0,-0.027696793002915453,23,0.5217391304347826,0.021739130434782608,-0.04679298425297657,-0.05377906976744186,0.01909619125006112,0.07551820020222447,0.09461439145228559
