split,rule,level_name,target_mult,stop_mult,n,hit,stop,timeout,expectancy_atr
oos,S2,prior_close,0.5,1.0,11,0.8181818181818182,0.18181818181818182,0.0,0.22727272727272727
oos,S2,prior_high,0.5,1.0,9,0.5555555555555556,0.4444444444444444,0.0,-0.16666666666666666
oos,S2,prior_low,0.5,1.0,5,0.6,0.4,0.0,-0.1
oos,S2,vah,0.5,1.0,4,0.75,0.25,0.0,0.125
oos,S2,val,0.5,1.0,4,0.5,0.5,0.0,-0.25
oos,S3,poc,0.5,1.0,23,0.8260869565217391,0.17391304347826086,0.0,0.2391304347826087
oos,S3,prior_close,0.5,1.0,32,0.59375,0.40625,0.0,-0.109375
oos,S3,prior_high,0.5,1.0,26,0.7692307692307693,0.23076923076923078,0.0,0.15384615384615385
oos,S3,prior_low,0.5,1.0,25,0.6,0.4,0.0,-0.1
oos,S3,vah,0.5,1.0,20,0.7,0.3,0.0,0.05
oos,S3,val,0.5,1.0,23,0.6521739130434783,0.34782608695652173,0.0,-0.021739130434782608
oos,S4,poc,0.5,1.0,30,0.5,0.5,0.0,-0.25
oos,S4,prior_close,0.5,1.0,31,0.5806451612903226,0.41935483870967744,0.0,-0.12903225806451613
oos,S4,prior_high,0.5,1.0,22,0.5,0.5,0.0,-0.25
oos,S4,prior_low,0.5,1.0,33,0.6363636363636364,0.36363636363636365,0.0,-0.045454545454545456
oos,S4,vah,0.5,1.0,18,0.3888888888888889,0.6111111111111112,0.0,-0.4166666666666667
oos,S4,val,0.5,1.0,29,0.6551724137931034,0.3448275862068966,0.0,-0.017241379310344827
oos,S1,poc,0.5,1.5,4,0.75,0.25,0.0,0.0
oos,S1,prior_close,0.5,1.5,6,1.0,0.0,0.0,0.5
oos,S1,prior_high,0.5,1.5,6,0.6666666666666666,0.3333333333333333,0.0,-0.16666666666666666
oos,S1,prior_low,0.5,1.5,6,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666
oos,S1,vah,0.5,1.5,2,0.5,0.5,0.0,-0.5
oos,S1,val,0.5,1.5,5,0.4,0.6,0.0,-0.7
oos,S2,poc,0.5,1.5,7,0.5714285714285714,0.42857142857142855,0.0,-0.35714285714285715
oos,S2,prior_close,0.5,1.5,11,0.8181818181818182,0.18181818181818182,0.0,0.13636363636363635
