split,rule,level_name,target_mult,stop_mult,n_train,hit_train,stop,timeout,exp_train,n_oos,hit_oos,exp_oos,base_train,base_oos,edge_train,edge_oos
train,S4,poc,0.3,0.75,404,0.5618811881188119,0.4381188118811881,0.0,-0.16002475247524753,30,0.43333333333333335,-0.295,-0.07666111893483549,-0.07848837209302326,-0.08336363354041204,-0.21651162790697673
train,S4,prior_close,0.3,0.75,458,0.611353711790393,0.388646288209607,0.0,-0.10807860262008734,31,0.4838709677419355,-0.24193548387096775,-0.07666111893483549,-0.07848837209302326,-0.03141748368525185,-0.1634471117779445
train,S4,prior_high,0.3,0.75,345,0.5971014492753624,0.4028985507246377,0.0,-0.12304347826086957,22,0.4090909090909091,-0.3204545454545455,-0.07666111893483549,-0.07848837209302326,-0.04638235932603409,-0.24196617336152224
train,S4,prior_low,0.3,0.75,291,0.5601374570446735,0.43986254295532645,0.0,-0.1618556701030928,33,0.7575757575757576,0.045454545454545456,-0.07666111893483549,-0.07848837209302326,-0.0851945511682573,0.12394291754756871
train,S4,vah,0.3,0.75,394,0.5964467005076142,0.4035532994923858,0.0,-0.12373096446700507,18,0.3888888888888889,-0.3416666666666667,-0.07666111893483549,-0.07848837209302326,-0.047069845532169585,-0.2631782945736434
train,S4,val,0.3,0.75,353,0.5977337110481586,0.40226628895184136,0.0,-0.12237960339943343,29,0.5862068965517241,-0.13448275862068967,-0.07666111893483549,-0.07848837209302326,-0.04571848446459795,-0.05599438652766642
train,S1,poc,0.3,1.0,159,0.7484276729559748,0.25157232704402516,0.0,-0.02704402515723273,4,0.5,-0.35,-0.06232236589425169,-0.055232558139534885,0.035278340737018965,-0.2947674418604651
train,S1,prior_close,0.3,1.0,185,0.6702702702702703,0.32972972972972975,0.0,-0.12864864864864867,6,1.0,0.3,-0.06232236589425169,-0.055232558139534885,-0.06632628275439698,0.35523255813953486
train,S1,prior_high,0.3,1.0,116,0.7155172413793104,0.28448275862068967,0.0,-0.06982758620689657,6,0.6666666666666666,-0.13333333333333333,-0.06232236589425169,-0.055232558139534885,-0.007505220312644875,-0.07810077519379845
train,S1,prior_low,0.3,1.0,95,0.5684210526315789,0.43157894736842106,0.0,-0.26105263157894737,6,0.8333333333333334,0.08333333333333333,-0.06232236589425169,-0.055232558139534885,-0.19873026568469568,0.1385658914728682
train,S1,vah,0.3,1.0,183,0.726775956284153,0.273224043715847,0.0,-0.0551912568306011,2,0.5,-0.35,-0.06232236589425169,-0.055232558139534885,0.007131109063650588,-0.2947674418604651
train,S1,val,0.3,1.0,138,0.6811594202898551,0.3188405797101449,0.0,-0.1144927536231884,5,0.2,-0.74,-0.06232236589425169,-0.055232558139534885,-0.052170387728936715,-0.6847674418604651
train,S2,poc,0.3,1.0,129,0.7286821705426356,0.2713178294573643,0.0,-0.05271317829457365,7,0.5714285714285714,-0.2571428571428572,-0.06232236589425169,-0.055232558139534885,0.009609187599678042,-0.2019102990033223
train,S2,prior_close,0.3,1.0,145,0.7034482758620689,0.296551724137931,0.0,-0.08551724137931035,11,0.8181818181818182,0.06363636363636362,-0.06232236589425169,-0.055232558139534885,-0.023194875485058664,0.1188689217758985
train,S2,prior_high,0.3,1.0,99,0.6868686868686869,0.31313131313131315,0.0,-0.10707070707070708,9,0.5555555555555556,-0.2777777777777778,-0.06232236589425169,-0.055232558139534885,-0.04474834117645539,-0.22254521963824292
train,S2,prior_low,0.3,1.0,88,0.7272727272727273,0.2727272727272727,0.0,-0.05454545454545456,5,0.6,-0.22000000000000003,-0.06232236589425169,-0.055232558139534885,0.0077769113487971345,-0.16476744186046516
train,S2,vah,0.3,1.0,134,0.6940298507462687,0.30597014925373134,0.0,-0.09776119402985076,4,0.75,-0.025000000000000022,-0.06232236589425169,-0.055232558139534885,-0.035438828135599065,0.030232558139534862
train,S2,val,0.3,1.0,113,0.7433628318584071,0.25663716814159293,0.0,-0.0336283185840708,4,0.5,-0.35,-0.06232236589425169,-0.055232558139534885,0.028694047310180888,-0.2947674418604651
