ticker,level_name,confluence,direction,target,stop,n,n_base,hit,base_hit,hit_lift,expectancy,base_exp,edge
SPY,poc,all,fade,0.3,0.25,346,8223,0.4653179190751445,0.4111638088288946,0.05415411024624994,0.012427745664739876,-0.01109084275811748,0.023518588422857357
SPY,poc,confluence_true,fade,0.3,0.25,71,8223,0.4225352112676056,0.4111638088288946,0.011371402438711042,-0.01056338028169014,-0.01109084275811748,0.0005274624764273397
SPY,poc,confluence_false,fade,0.3,0.25,275,8223,0.4763636363636364,0.4111638088288946,0.0651998275347418,0.018363636363636353,-0.01109084275811748,0.029454479121753835
SPY,vah,all,fade,0.3,0.25,359,8223,0.45403899721448465,0.4111638088288946,0.04287518838559007,0.005988857938718659,-0.01109084275811748,0.01707970069683614
SPY,vah,confluence_true,fade,0.3,0.25,78,8223,0.38461538461538464,0.4111638088288946,-0.026548424213509947,-0.02564102564102564,-0.01109084275811748,-0.01455018288290816
SPY,vah,confluence_false,fade,0.3,0.25,281,8223,0.47330960854092524,0.4111638088288946,0.06214579971203066,0.014768683274021347,-0.01109084275811748,0.025859526032138827
SPY,val,all,fade,0.3,0.25,283,8223,0.40636042402826855,0.4111638088288946,-0.004803384800626032,-0.02120141342756184,-0.01109084275811748,-0.010110570669444359
SPY,val,confluence_true,fade,0.3,0.25,52,8223,0.40384615384615385,0.4111638088288946,-0.007317654982740729,-0.02307692307692308,-0.01109084275811748,-0.011986080318805601
SPY,val,confluence_false,fade,0.3,0.25,231,8223,0.4069264069264069,0.4111638088288946,-0.00423740190248767,-0.020779220779220783,-0.01109084275811748,-0.009688378021103302
SPY,prior_high,all,fade,0.3,0.25,295,8223,0.4542372881355932,0.4111638088288946,0.04307347930669864,0.003220338983050833,-0.01109084275811748,0.014311181741168313
SPY,prior_high,confluence_true,fade,0.3,0.25,64,8223,0.4375,0.4111638088288946,0.026336191171105416,-0.0054687499999999944,-0.01109084275811748,0.005622092758117486
SPY,prior_high,confluence_false,fade,0.3,0.25,231,8223,0.4588744588744589,0.4111638088288946,0.047710650045564296,0.005627705627705615,-0.01109084275811748,0.016718548385823095
SPY,prior_low,all,fade,0.3,0.25,223,8223,0.4170403587443946,0.4111638088288946,0.005876549915500018,-0.015022421524663683,-0.01109084275811748,-0.003931578766546203
SPY,prior_low,confluence_true,fade,0.3,0.25,46,8223,0.43478260869565216,0.4111638088288946,0.023618799866757578,-0.010869565217391304,-0.01109084275811748,0.00022127754072617627
SPY,prior_low,confluence_false,fade,0.3,0.25,177,8223,0.4124293785310734,0.4111638088288946,0.001265569702178837,-0.016101694915254244,-0.01109084275811748,-0.005010852157136763
SPY,prior_close,all,fade,0.3,0.25,400,8223,0.4475,0.4111638088288946,0.036336191171105425,0.0017499999999999894,-0.01109084275811748,0.01284084275811747
SPY,prior_close,confluence_true,fade,0.3,0.25,81,8223,0.4691358024691358,0.4111638088288946,0.05797199364024119,0.014197530864197535,-0.01109084275811748,0.025288373622315015
SPY,prior_close,confluence_false,fade,0.3,0.25,319,8223,0.44200626959247646,0.4111638088288946,0.03084246076358188,-0.0014106583072100404,-0.01109084275811748,0.00968018445090744
QQQ,ALL,all,momentum,1.0,1.5,2006,8579,0.34845463609172483,0.24956288611726307,0.09889174997446176,0.13160518444666003,0.07087073085441194,0.06073445359224809
QQQ,ALL,confluence_true,momentum,1.0,1.5,204,8579,0.3333333333333333,0.24956288611726307,0.08377044721607024,0.11274509803921569,0.07087073085441194,0.04187436718480375
QQQ,ALL,confluence_false,momentum,1.0,1.5,1802,8579,0.3501664816870144,0.24956288611726307,0.10060359556975135,0.13374028856825748,0.07087073085441194,0.06286955771384554
QQQ,poc,all,momentum,1.0,1.5,364,8579,0.3324175824175824,0.24956288611726307,0.08285469630031933,0.12225274725274725,0.07087073085441194,0.05138201639833531
QQQ,poc,confluence_true,momentum,1.0,1.5,38,8579,0.2631578947368421,0.24956288611726307,0.013595008619579019,0.06578947368421052,0.07087073085441194,-0.005081257170201414
QQQ,poc,confluence_false,momentum,1.0,1.5,326,8579,0.34049079754601225,0.24956288611726307,0.09092791142874918,0.12883435582822086,0.07087073085441194,0.05796362497380893
QQQ,vah,all,momentum,1.0,1.5,371,8579,0.31536388140161725,0.24956288611726307,0.06580099528435418,0.10107816711590296,0.07087073085441194,0.030207436261491027
QQQ,vah,confluence_true,momentum,1.0,1.5,37,8579,0.3783783783783784,0.24956288611726307,0.12881549226111533,0.21621621621621623,0.07087073085441194,0.1453454853618043
QQQ,vah,confluence_false,momentum,1.0,1.5,334,8579,0.3083832335329341,0.24956288611726307,0.05882034741567105,0.08832335329341318,0.07087073085441194,0.01745262243900124
QQQ,val,all,momentum,1.0,1.5,318,8579,0.36477987421383645,0.24956288611726307,0.11521698809657338,0.10534591194968554,0.07087073085441194,0.0344751810952736
QQQ,val,confluence_true,momentum,1.0,1.5,32,8579,0.40625,0.24956288611726307,0.15668711388273693,0.125,0.07087073085441194,0.05412926914558806
QQQ,val,confluence_false,momentum,1.0,1.5,286,8579,0.36013986013986016,0.24956288611726307,0.11057697402259709,0.10314685314685315,0.07087073085441194,0.032276122292441214
