minute,mean_vol,median_vol,mean_bp,mean_delta,n,time
696,124343.5990068022,97997.0,0.5213259057178796,6073.573219991916,819,11:36
697,117727.19992146763,87178.0,0.5122497664061979,2748.215924476521,819,11:37
698,110547.42289267399,85217.0,0.5142987411907725,-795.742859520372,819,11:38
699,111801.37282918925,85814.0,0.5010182206293355,-2773.4064123905528,819,11:39
700,135487.13259289743,98755.621406,0.5069799884537763,515.5037442748525,819,11:40
701,114515.67738682906,89999.0,0.5055290378021122,1914.6225119662092,819,11:41
702,125066.0334250586,93538.0,0.5228526358447102,3139.4467821287494,819,11:42
703,127491.08511303052,87702.0,0.5225239452119188,2816.234236862154,819,11:43
704,108302.82360843346,84070.0,0.5019970542342848,1275.0894454920697,819,11:44
705,120749.39538440049,92655.0,0.5297719711621982,5551.964715231591,819,11:45
706,115535.34541073382,88313.889859,0.5097279896784987,1876.2408064438507,819,11:46
707,111641.55051231502,84761.0,0.50824688024757,160.49760063932285,819,11:47
708,117959.40771996458,80204.0,0.49837416104763216,9637.784400139526,819,11:48
709,105997.93245661783,77469.0,0.5279496548095046,4787.85792292831,819,11:49
710,117749.8501748889,95261.0,0.51674172083075,-589.6775944347852,819,11:50
711,115738.297072884,89441.0,0.5188198668027463,-1091.7494492477933,819,11:51
712,116651.84750005371,87786.0,0.5301315037748732,5544.185428308755,819,11:52
713,112307.36821155921,84717.0,0.5330358888763052,3820.948688323007,819,11:53
714,102488.2751187912,78028.0,0.5197474719465601,763.8355355092068,819,11:54
715,118775.76367781807,95038.0,0.5204905289772518,5471.175565534277,819,11:55
716,120605.3436681172,88671.0,0.5202424705553647,6514.549092912794,819,11:56
717,115197.54856074358,82365.0,0.522871165294384,-336.06309516339013,819,11:57
718,109138.20510159218,82912.0,0.5051663279694811,-336.4295342901365,819,11:58
719,108433.2319778083,80998.0,0.5034602858554519,5612.180610828591,819,11:59
720,132990.11410699022,107502.0,0.5029924534049192,6679.761295935734,819,12:00
721,118100.65270169597,94448.0,0.5296525611131655,5441.643488184334,819,12:01
722,117208.83182330037,90811.0,0.49537585640383797,-724.8077409234244,819,12:02
723,103578.41567966544,79135.287426,0.5046686949789552,-3509.553689931882,819,12:03
724,106185.25349259708,79274.0,0.5071238281805651,-1197.3329205004627,819,12:04
725,104974.07592565568,83584.0,0.5029593422508677,-1060.2184836942056,819,12:05
726,108299.17605143713,81871.0,0.511844168415205,239.25193634430445,819,12:06
727,106422.93455819658,78789.0,0.5139543582451658,4272.500134531909,819,12:07
728,107358.96123776313,86353.0,0.5156777859786718,225.55030279703203,819,12:08
729,95163.23660327595,72481.0,0.4931764591744076,-4037.6373898936918,819,12:09
730,108391.64493803174,87033.0,0.5092166283128268,1132.4458478120318,819,12:10
731,108138.15933154579,79107.0,0.5170335952395042,8757.851276630161,819,12:11
732,108480.35946828083,81943.0,0.5010970749065539,-4272.210020353458,819,12:12
733,98217.15170296702,75006.0,0.5238683753495857,5886.618885679837,819,12:13
734,96123.47799930036,71538.0,0.5211926569491999,5723.620626059785,819,12:14
735,113414.0606627204,93471.0,0.5138989596070657,4481.433625038015,819,12:15
736,106265.4919666398,84370.0,0.5202762950581967,5350.745221549945,819,12:16
737,107041.48681076556,78905.0,0.5020398229205355,-678.5329016681601,819,12:17
738,100307.24443659098,75598.0,0.49973426364330653,-1762.0232506698428,819,12:18
739,99446.99418290233,73630.0,0.5265164230811084,31.95453124601447,819,12:19
740,104374.33770833944,82904.6987,0.5253426357496457,6730.495181238257,819,12:20
741,108328.80769026984,77690.0,0.5077951203941434,-1534.545134658607,819,12:21
742,111784.09448946154,83662.0,0.5139179021297929,530.9181848082122,819,12:22
743,99531.81567586203,75659.0,0.5202697559787404,2242.256474572415,819,12:23
744,102006.5054678254,79537.0,0.5139248785840139,1745.9270085668684,819,12:24
745,101868.86837574482,76605.0,0.5145653274170199,1725.721277872847,819,12:25
746,109865.13950964103,77354.0,0.5277136744577327,8215.88795680999,819,12:26
747,99513.30003214287,73649.0,0.5166792019927826,253.0241860326938,819,12:27
748,113518.88201385959,81518.0,0.514718992402318,177.503632471503,819,12:28
