session_date,level_name,level,touched,first_touch_bar,first_touch_minute
2023-06-07,low,425.99,False,,
2023-06-07,close,428.04,True,55.0,625.0
2023-06-08,poc,426.78,True,0.0,570.0
2023-06-08,vah,427.68,True,62.0,632.0
2023-06-08,val,426.33,True,15.0,585.0
2023-06-08,high,429.62,True,380.0,950.0
2023-06-08,low,426.11,True,16.0,586.0
2023-06-08,close,426.6,True,0.0,570.0
2023-06-09,poc,428.93,True,151.0,721.0
2023-06-09,vah,429.32,True,121.0,691.0
2023-06-09,val,427.88,False,,
2023-06-09,high,429.6,True,120.0,690.0
2023-06-09,low,425.82,False,,
2023-06-09,close,429.125,True,151.0,721.0
2023-06-12,poc,430.03,False,,
2023-06-12,vah,430.98,True,0.0,570.0
2023-06-12,val,429.38,False,,
2023-06-12,high,431.99,True,305.0,875.0
2023-06-12,low,428.87,False,,
2023-06-12,close,429.89,False,,
2023-06-13,poc,433.38,False,,
2023-06-13,vah,433.88,False,,
2023-06-13,val,430.98,False,,
2023-06-13,high,433.88,False,,
2023-06-13,low,430.17,False,,
2023-06-13,close,433.79,False,,
2023-06-14,poc,436.48,True,3.0,573.0
2023-06-14,vah,436.93,True,0.0,570.0
2023-06-14,val,435.88,True,271.0,841.0
2023-06-14,high,437.33,True,15.0,585.0
2023-06-14,low,434.63,True,276.0,846.0
2023-06-14,close,436.66,True,0.0,570.0
2023-06-15,poc,437.98,True,17.0,587.0
2023-06-15,vah,438.38,True,20.0,590.0
2023-06-15,val,435.53,False,,
2023-06-15,high,439.0612,True,30.0,600.0
2023-06-15,low,433.59,False,,
