window,level,vol_filter,split,target_mult,stop_mult,n,hit,stop_rate,exp_atr
10_00_10_30,poc,V0,oos,1.5,1.0,12,0.6666666666666666,0.3333333333333333,0.6666666666666666
10_00_10_30,poc,V0,train,1.5,1.5,181,0.44751381215469616,0.4419889502762431,0.008287292817679558
10_00_10_30,poc,V0,oos,1.5,1.5,12,0.6666666666666666,0.25,0.625
10_00_10_30,poc,V1,train,0.3,0.5,61,0.36065573770491804,0.639344262295082,-0.21147540983606558
10_00_10_30,poc,V1,oos,0.3,0.5,5,0.6,0.4,-0.020000000000000018
10_00_10_30,poc,V1,train,0.3,0.75,61,0.5573770491803278,0.4426229508196721,-0.16475409836065574
10_00_10_30,poc,V1,oos,0.3,0.75,5,0.6,0.4,-0.12000000000000002
10_00_10_30,poc,V1,train,0.3,1.0,61,0.6721311475409836,0.32786885245901637,-0.12622950819672132
10_00_10_30,poc,V1,oos,0.3,1.0,5,0.8,0.2,0.039999999999999994
10_00_10_30,poc,V1,train,0.3,1.5,61,0.819672131147541,0.18032786885245902,-0.02459016393442623
10_00_10_30,poc,V1,oos,0.3,1.5,5,1.0,0.0,0.3
10_00_10_30,poc,V1,train,0.5,0.5,61,0.36065573770491804,0.639344262295082,-0.13934426229508196
10_00_10_30,poc,V1,oos,0.5,0.5,5,0.6,0.4,0.1
10_00_10_30,poc,V1,train,0.5,0.75,61,0.5245901639344263,0.47540983606557374,-0.0942622950819672
10_00_10_30,poc,V1,oos,0.5,0.75,5,0.6,0.4,0.0
10_00_10_30,poc,V1,train,0.5,1.0,61,0.639344262295082,0.36065573770491804,-0.040983606557377046
10_00_10_30,poc,V1,oos,0.5,1.0,5,0.8,0.2,0.2
10_00_10_30,poc,V1,train,0.5,1.5,61,0.7704918032786885,0.22950819672131148,0.040983606557377046
10_00_10_30,poc,V1,oos,0.5,1.5,5,0.8,0.2,0.1
10_00_10_30,poc,V1,train,0.75,0.5,61,0.32786885245901637,0.6721311475409836,-0.09016393442622951
10_00_10_30,poc,V1,oos,0.75,0.5,5,0.6,0.4,0.25
10_00_10_30,poc,V1,train,0.75,0.75,61,0.45901639344262296,0.5409836065573771,-0.06147540983606557
10_00_10_30,poc,V1,oos,0.75,0.75,5,0.6,0.4,0.15
10_00_10_30,poc,V1,train,0.75,1.0,61,0.5409836065573771,0.45901639344262296,-0.05327868852459016
10_00_10_30,poc,V1,oos,0.75,1.0,5,0.6,0.4,0.05
10_00_10_30,poc,V1,train,0.75,1.5,61,0.6885245901639344,0.3114754098360656,0.04918032786885246
10_00_10_30,poc,V1,oos,0.75,1.5,5,0.6,0.4,-0.15
10_00_10_30,poc,V1,train,1.0,0.5,61,0.2786885245901639,0.7213114754098361,-0.08196721311475409
10_00_10_30,poc,V1,oos,1.0,0.5,5,0.6,0.4,0.4
10_00_10_30,poc,V1,train,1.0,0.75,61,0.36065573770491804,0.639344262295082,-0.11885245901639344
10_00_10_30,poc,V1,oos,1.0,0.75,5,0.6,0.4,0.3
10_00_10_30,poc,V1,train,1.0,1.0,61,0.4426229508196721,0.5573770491803278,-0.11475409836065574
10_00_10_30,poc,V1,oos,1.0,1.0,5,0.6,0.4,0.2
10_00_10_30,poc,V1,train,1.0,1.5,61,0.5901639344262295,0.3770491803278688,0.02459016393442623
10_00_10_30,poc,V1,oos,1.0,1.5,5,0.6,0.4,0.0
10_00_10_30,poc,V1,train,1.5,0.5,61,0.18032786885245902,0.819672131147541,-0.13934426229508196
10_00_10_30,poc,V1,oos,1.5,0.5,5,0.6,0.4,0.7
10_00_10_30,poc,V1,train,1.5,0.75,61,0.26229508196721313,0.7377049180327869,-0.1598360655737705
10_00_10_30,poc,V1,oos,1.5,0.75,5,0.6,0.4,0.6
10_00_10_30,poc,V1,train,1.5,1.0,61,0.3442622950819672,0.6557377049180327,-0.13934426229508196
10_00_10_30,poc,V1,oos,1.5,1.0,5,0.6,0.4,0.5
10_00_10_30,poc,V1,train,1.5,1.5,61,0.45901639344262296,0.4426229508196721,0.02459016393442623
10_00_10_30,poc,V1,oos,1.5,1.5,5,0.6,0.4,0.3
10_00_10_30,poc,V2,train,0.3,0.5,55,0.4727272727272727,0.5272727272727272,-0.12181818181818183
10_00_10_30,poc,V2,oos,0.3,0.5,2,1.0,0.0,0.3
10_00_10_30,poc,V2,train,0.3,0.75,55,0.6181818181818182,0.38181818181818183,-0.10090909090909092
10_00_10_30,poc,V2,oos,0.3,0.75,2,1.0,0.0,0.3
10_00_10_30,poc,V2,train,0.3,1.0,55,0.7090909090909091,0.2909090909090909,-0.0781818181818182
10_00_10_30,poc,V2,oos,0.3,1.0,2,1.0,0.0,0.3
10_00_10_30,poc,V2,train,0.3,1.5,55,0.7818181818181819,0.21818181818181817,-0.09272727272727273
10_00_10_30,poc,V2,oos,0.3,1.5,2,1.0,0.0,0.3
10_00_10_30,poc,V2,train,0.5,0.5,55,0.45454545454545453,0.5454545454545454,-0.045454545454545456
10_00_10_30,poc,V2,oos,0.5,0.5,2,1.0,0.0,0.5
10_00_10_30,poc,V2,train,0.5,0.75,55,0.5636363636363636,0.43636363636363634,-0.045454545454545456
10_00_10_30,poc,V2,oos,0.5,0.75,2,1.0,0.0,0.5
10_00_10_30,poc,V2,train,0.5,1.0,55,0.6727272727272727,0.32727272727272727,0.00909090909090909
10_00_10_30,poc,V2,oos,0.5,1.0,2,1.0,0.0,0.5
10_00_10_30,poc,V2,train,0.5,1.5,55,0.7454545454545455,0.2545454545454545,-0.00909090909090909
10_00_10_30,poc,V2,oos,0.5,1.5,2,1.0,0.0,0.5
10_00_10_30,poc,V2,train,0.75,0.5,55,0.4,0.6,0.0
10_00_10_30,poc,V2,oos,0.75,0.5,2,1.0,0.0,0.75
10_00_10_30,poc,V2,train,0.75,0.75,55,0.4909090909090909,0.509090909090909,-0.013636363636363636
10_00_10_30,poc,V2,oos,0.75,0.75,2,1.0,0.0,0.75
10_00_10_30,poc,V2,train,0.75,1.0,55,0.5818181818181818,0.41818181818181815,0.01818181818181818
10_00_10_30,poc,V2,oos,0.75,1.0,2,1.0,0.0,0.75
10_00_10_30,poc,V2,train,0.75,1.5,55,0.6727272727272727,0.32727272727272727,0.013636363636363636
10_00_10_30,poc,V2,oos,0.75,1.5,2,1.0,0.0,0.75
10_00_10_30,poc,V2,train,1.0,0.5,55,0.3090909090909091,0.6909090909090909,-0.03636363636363636
10_00_10_30,poc,V2,oos,1.0,0.5,2,1.0,0.0,1.0
10_00_10_30,poc,V2,train,1.0,0.75,55,0.38181818181818183,0.6181818181818182,-0.08181818181818182
10_00_10_30,poc,V2,oos,1.0,0.75,2,1.0,0.0,1.0
10_00_10_30,poc,V2,train,1.0,1.0,55,0.4727272727272727,0.509090909090909,-0.03636363636363636
10_00_10_30,poc,V2,oos,1.0,1.0,2,1.0,0.0,1.0
10_00_10_30,poc,V2,train,1.0,1.5,55,0.5454545454545454,0.38181818181818183,-0.02727272727272727
10_00_10_30,poc,V2,oos,1.0,1.5,2,1.0,0.0,1.0
10_00_10_30,poc,V2,train,1.5,0.5,55,0.21818181818181817,0.7818181818181819,-0.06363636363636363
10_00_10_30,poc,V2,oos,1.5,0.5,2,1.0,0.0,1.5
10_00_10_30,poc,V2,train,1.5,0.75,55,0.2909090909090909,0.7090909090909091,-0.09545454545454546
10_00_10_30,poc,V2,oos,1.5,0.75,2,1.0,0.0,1.5
10_00_10_30,poc,V2,train,1.5,1.0,55,0.34545454545454546,0.6363636363636364,-0.11818181818181818
10_00_10_30,poc,V2,oos,1.5,1.0,2,1.0,0.0,1.5
10_00_10_30,poc,V2,train,1.5,1.5,55,0.4,0.43636363636363634,-0.05454545454545454
10_00_10_30,poc,V2,oos,1.5,1.5,2,1.0,0.0,1.5
10_00_10_30,poc,V3,train,0.3,0.5,17,0.35294117647058826,0.6470588235294118,-0.21764705882352942
10_00_10_30,poc,V3,oos,0.3,0.5,2,1.0,0.0,0.3
10_00_10_30,poc,V3,train,0.3,0.75,17,0.5882352941176471,0.4117647058823529,-0.1323529411764706
10_00_10_30,poc,V3,oos,0.3,0.75,2,1.0,0.0,0.3
