config,direction,horizon,target,stop,n,hit,stop_rate,timeout,expectancy,r_multiple
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.75,0.15,585,0.147008547008547,0.8068376068376069,0.046153846153846156,-0.010769230769230764,-0.07179487179487176
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.75,0.2,585,0.1658119658119658,0.7572649572649572,0.07692307692307693,-0.027094017094017108,-0.13547008547008554
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.75,0.25,585,0.19145299145299147,0.7076923076923077,0.10085470085470086,-0.03333333333333333,-0.13333333333333333
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.75,0.3,585,0.2153846153846154,0.6649572649572649,0.11965811965811966,-0.03794871794871793,-0.12649572649572643
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.75,0.5,585,0.2905982905982906,0.46495726495726497,0.24444444444444444,-0.01452991452991453,-0.02905982905982906
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.75,0.75,585,0.3384615384615385,0.3367521367521368,0.3247863247863248,0.001282051282051282,0.0017094017094017094
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.75,1.0,585,0.3641025641025641,0.2512820512820513,0.38461538461538464,0.021794871794871794,0.021794871794871794
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,0.75,1.5,585,0.38803418803418804,0.1452991452991453,0.4666666666666667,0.07307692307692308,0.04871794871794872
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,1.0,0.15,585,0.09743589743589744,0.8307692307692308,0.07179487179487179,-0.027179487179487163,-0.1811965811965811
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,1.0,0.2,585,0.1111111111111111,0.7794871794871795,0.1094017094017094,-0.04478632478632479,-0.22393162393162394
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,1.0,0.25,585,0.12478632478632479,0.7316239316239316,0.14358974358974358,-0.05811965811965812,-0.23247863247863249
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,1.0,0.3,585,0.1452991452991453,0.6905982905982906,0.1641025641025641,-0.06188034188034186,-0.20626780626780622
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,1.0,0.5,585,0.20341880341880342,0.49401709401709404,0.30256410256410254,-0.04358974358974359,-0.08717948717948718
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,1.0,0.75,585,0.2358974358974359,0.36752136752136755,0.39658119658119656,-0.03974358974358974,-0.05299145299145299
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,1.0,1.0,585,0.25811965811965815,0.27692307692307694,0.46495726495726497,-0.018803418803418803,-0.018803418803418803
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,1.0,1.5,585,0.27521367521367524,0.1606837606837607,0.5641025641025641,0.03418803418803419,0.022792022792022793
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,1.5,0.15,585,0.039316239316239315,0.8427350427350427,0.11794871794871795,-0.06743589743589744,-0.4495726495726496
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,1.5,0.2,585,0.044444444444444446,0.7931623931623931,0.1623931623931624,-0.09196581196581198,-0.45982905982905986
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,1.5,0.25,585,0.05128205128205128,0.7487179487179487,0.2,-0.11025641025641025,-0.441025641025641
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,1.5,0.3,585,0.05982905982905983,0.7076923076923077,0.23247863247863249,-0.12256410256410255,-0.40854700854700854
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,1.5,0.5,585,0.09230769230769231,0.5162393162393163,0.39145299145299145,-0.11965811965811966,-0.23931623931623933
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,1.5,0.75,585,0.1094017094017094,0.38974358974358975,0.5008547008547009,-0.1282051282051282,-0.17094017094017092
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,1.5,1.0,585,0.12478632478632479,0.2905982905982906,0.5846153846153846,-0.10341880341880341,-0.10341880341880341
SPY_step_5.00_morning_0930_1115_first_T1,momentum,15,1.5,1.5,585,0.12991452991452992,0.17264957264957265,0.6974358974358974,-0.0641025641025641,-0.04273504273504273
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.15,0.15,7119,0.40946762185700236,0.584913611462284,0.0056187666807135835,-0.026316898440792248,-0.17544598960528165
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.15,0.2,7119,0.4950133445708667,0.4950133445708667,0.00997331085826661,-0.02475066722854334,-0.1237533361427167
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.15,0.25,7119,0.5510605422109847,0.4337687877510886,0.015170670037926675,-0.025783115606124465,-0.10313246242449786
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.15,0.3,7119,0.5988200589970502,0.38207613428852366,0.019103806714426182,-0.024799831436999587,-0.08266610478999863
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.15,0.5,7119,0.7069813176007866,0.2520016856300042,0.04101699676920916,-0.019953645174884124,-0.03990729034976825
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.15,0.75,7119,0.7683663435875825,0.1543756145526057,0.07725804185981178,-0.0005267593763168984,-0.0007023458350891979
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.15,1.0,7119,0.7911223486444725,0.10310436859109426,0.10577328276443321,0.01556398370557662,0.01556398370557662
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.15,1.5,7119,0.8081191178536311,0.04663576344992274,0.14524511869644613,0.051264222503160546,0.034176148335440366
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.2,0.15,7119,0.36465795757831154,0.6246663857283327,0.010675656693355809,-0.020768366343587568,-0.13845577562391712
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.2,0.2,7119,0.44121365360303416,0.5406658238516645,0.018120522545301308,-0.01989043404972609,-0.09945217024863044
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.2,0.25,7119,0.4919230228964742,0.48194971203820763,0.026127265065318164,-0.022102823430257046,-0.08841129372102818
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.2,0.3,7119,0.5382778480123613,0.42857142857142855,0.03315072341621014,-0.020915858968956296,-0.06971952989652098
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.2,0.5,7119,0.645315353279955,0.29034976822587444,0.06433487849417054,-0.016111813456946192,-0.032223626913892384
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.2,0.75,7119,0.7068408484337688,0.18078381795195955,0.11237533361427167,0.005780306222784111,0.007707074963712149
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.2,1.0,7119,0.7307206068268015,0.12178676780446691,0.14749262536873156,0.024357353560893396,0.024357353560893396
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.2,1.5,7119,0.7488411293721028,0.05492344430397528,0.1962354263239219,0.06738305941845765,0.0449220396123051
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.3,0.15,7119,0.2910521140609636,0.689141733389521,0.01980615254951538,-0.01605562579013906,-0.10703750526759373
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.3,0.2,7119,0.35356089338390223,0.6116027531956736,0.03483635342042422,-0.016252282623964047,-0.08126141311982023
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.3,0.25,7119,0.40089900266891415,0.5513414805450204,0.04775951678606546,-0.01756566933558085,-0.0702626773423234
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.3,0.3,7119,0.44261834527321253,0.49908695041438406,0.058294704312403425,-0.01694058154235144,-0.056468605141171475
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.3,0.5,7119,0.5460036521983425,0.34906588003933137,0.10493046776232617,-0.010731844360162958,-0.021463688720325915
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.3,0.75,7119,0.6031746031746031,0.22432925972748982,0.172496137097907,0.012705436156763597,0.016940581542351462
SPY_step_5.00_morning_0930_1115_ALL,fade,15,0.3,1.0,7119,0.6285995224048322,0.15240904621435594,0.21899143138081192,0.03617081050709369,0.03617081050709369
