config,direction,horizon,target,stop,n,hit,stop_rate,timeout,expectancy,r_multiple
SPY_morning_0930_1115_BASELINE,momentum,15,0.3,0.25,8223,0.4249057521585796,0.5212209655843366,0.053873282257083786,-0.0028335157485102707,-0.011334062994041083
SPY_morning_0930_1115_BASELINE,momentum,15,0.3,0.3,8223,0.46613158214763467,0.4655235315578256,0.0683448862945397,0.00018241517694272163,0.0006080505898090721
SPY_morning_0930_1115_BASELINE,momentum,15,0.3,0.5,8223,0.5512586647209048,0.30317402407880334,0.14556731120029187,0.013790587376869739,0.027581174753739477
SPY_morning_0930_1115_BASELINE,momentum,15,0.3,0.75,8223,0.596984069074547,0.18253678706068344,0.22047914386476955,0.04219263042685152,0.05625684056913536
SPY_morning_0930_1115_BASELINE,momentum,15,0.3,1.0,8223,0.6108476225221938,0.11334062994041104,0.2758117475373951,0.06991365681624709,0.06991365681624709
SPY_morning_0930_1115_BASELINE,momentum,15,0.3,1.5,8223,0.6222789736106044,0.049130487656573026,0.32859053873282257,0.11298796059832177,0.07532530706554784
SPY_morning_0930_1115_BASELINE,momentum,15,0.4,0.15,8223,0.26134014349993917,0.7021768211115165,0.036483035388544326,-0.0007904657667517937,-0.005269771778345292
SPY_morning_0930_1115_BASELINE,momentum,15,0.4,0.2,8223,0.31083546151039765,0.6278730390368479,0.06129149945275447,-0.0012404232032105127,-0.0062021160160525635
SPY_morning_0930_1115_BASELINE,momentum,15,0.4,0.25,8223,0.3501155296120637,0.5657302687583607,0.08415420162957558,-0.001386355344764668,-0.005545421379058672
SPY_morning_0930_1115_BASELINE,momentum,15,0.4,0.3,8223,0.38453119299525723,0.5088167335522316,0.10665207345251125,0.001167457132433435,0.003891523774778117
SPY_morning_0930_1115_BASELINE,momentum,15,0.4,0.5,8223,0.45737565365438404,0.3384409582877295,0.2041833880578864,0.013729782317888859,0.027459564635777717
SPY_morning_0930_1115_BASELINE,momentum,15,0.4,0.75,8223,0.4979934330536301,0.20710203088896997,0.29490453605739997,0.043870850054724554,0.05849446673963274
SPY_morning_0930_1115_BASELINE,momentum,15,0.4,1.0,8223,0.5125866472090478,0.12854189468563784,0.35887145810531434,0.07649276419798128,0.07649276419798128
SPY_morning_0930_1115_BASELINE,momentum,15,0.4,1.5,8223,0.5232883375896875,0.05715675544205278,0.41955490696825976,0.12358020187279582,0.08238680124853055
SPY_morning_0930_1115_BASELINE,momentum,15,0.5,0.15,8223,0.2100206737200535,0.7342818922534354,0.055697434026511006,-0.00513194697798856,-0.03421297985325707
SPY_morning_0930_1115_BASELINE,momentum,15,0.5,0.2,8223,0.2505168430013377,0.6616806518302323,0.08780250516843001,-0.007077708865377605,-0.035388544326888025
SPY_morning_0930_1115_BASELINE,momentum,15,0.5,0.25,8223,0.28225708378937125,0.5999027119056306,0.11784020430499817,-0.008847136081722,-0.035388544326888
SPY_morning_0930_1115_BASELINE,momentum,15,0.5,0.3,8223,0.3102274109205886,0.5408001945761888,0.14897239450322267,-0.007126352912562314,-0.023754509708541045
SPY_morning_0930_1115_BASELINE,momentum,15,0.5,0.5,8223,0.3721269609631521,0.36470874376748147,0.2631642952693664,0.00370910859783534,0.00741821719567068
SPY_morning_0930_1115_BASELINE,momentum,15,0.5,0.75,8223,0.4089748267055819,0.2249787182293567,0.3660464550650614,0.03575337468077344,0.04767116624103126
SPY_morning_0930_1115_BASELINE,momentum,15,0.5,1.0,8223,0.42210871944545786,0.14021646600997204,0.43767481454457013,0.07083789371275691,0.07083789371275691
SPY_morning_0930_1115_BASELINE,momentum,15,0.5,1.5,8223,0.43256718959017393,0.062264380396448986,0.5051684300133771,0.12288702420041347,0.08192468280027565
SPY_morning_0930_1115_BASELINE,momentum,15,0.75,0.15,8223,0.13000121610117962,0.7714945883497507,0.09850419554906968,-0.01822327617657788,-0.12148850784385254
SPY_morning_0930_1115_BASELINE,momentum,15,0.75,0.2,8223,0.1577283229964733,0.7002310592241274,0.14204061777939925,-0.021749969597470525,-0.10874984798735263
SPY_morning_0930_1115_BASELINE,momentum,15,0.75,0.25,8223,0.1752401799829746,0.6410069317767239,0.1837528882403016,-0.028821597956950017,-0.11528639182780007
SPY_morning_0930_1115_BASELINE,momentum,15,0.75,0.3,8223,0.1938465280311322,0.5826340751550529,0.2235193968138149,-0.02940532652316672,-0.09801775507722241
SPY_morning_0930_1115_BASELINE,momentum,15,0.75,0.5,8223,0.23288337589687463,0.399732457740484,0.3673841663626414,-0.02520369694758604,-0.05040739389517208
SPY_morning_0930_1115_BASELINE,momentum,15,0.75,0.75,8223,0.2591511613766265,0.24869269123191048,0.49215614739146296,0.00784385260853703,0.01045847014471604
